Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Muzafatkalan B.O,L7177,Partap Nagar S.O,,,2.0,,,3.0,,5.0,,,,
Nachron B.O,I4689,Radaur S.O,,,1.0,1.0,,,,,,,,
NAGGAL,M6338,Durga Nagar S.O,,,2.0,4.0,,2.0,,11.0,,,,
Nagla Jattan B.O,J7221,Kesri S.O,,,1.0,1.0,,8.0,,6.0,,,,
Nahar Pur B.O,L7571,Thermal Colony Yamuna Nagar S.O,,,1.0,,,,,4.0,,,,
Nahoni B.O,L4367,Saha S.O,,,,,,7.0,,6.0,,,,
Nanakpur B.O,I3642,Pinjore S.O,,,5.0,3.0,,1.0,,2.0,,,,
NANEOLA,M6339,Durga Nagar S.O,,,9.0,4.0,,3.0,,10.0,,,,
Naraingarh S.O,13420301,,14.0,2.0,16.0,173.0,,57.0,3.0,220.0,,17.0,39.0,
Nasrauli B.O,M0021,Jatwar S.O,,,1.0,2.0,,2.0,,8.0,,,,
Noshera B.O,D2500,Sadhaura S.O,,,,53.0,,4.0,,2.0,,,,
Pabni Kalan B.O,C3071,Jagadhri S.O,,,,3.0,,1.0,,1.0,,,,
Palam Vihar S.O (Ambala),13300108,,4.0,1.0,1.0,6.0,,15.0,4.0,26.0,,1.0,8.0,
Panchkula Sector 12 S.O,13411201,,10.0,1.0,5.0,11.0,,6.0,5.0,9.0,,3.0,10.0,
Panchkula Sector 4 S.O,13411202,,27.0,,3.0,53.0,1.0,28.0,7.0,45.0,,1.0,41.0,
Panchkula Sector 8 S.O,13410901,,45.0,6.0,10.0,86.0,,30.0,20.0,110.0,,9.0,91.0,
Panjlasa B.O,A4740,Naraingarh S.O,,,2.0,2.0,,2.0,,1.0,,,,
Panjokhara Sahib B.O,G7114,Baldev Nagar S.O,,,1.0,2.0,1.0,5.0,,4.0,,,,
Pansra B.O,L7572,Thermal Colony Yamuna Nagar S.O,,,2.0,2.0,,8.0,,,,,,
Parkash Chowk S.O,13500304,,1.0,1.0,,3.0,,9.0,,15.0,,1.0,1.0,
Partap Nagar S.O,13502101,,1.0,,5.0,14.0,,14.0,1.0,29.0,,2.0,1.0,
Pasiala B.O,J7222,Kesri S.O,,,2.0,,,1.0,,2.0,,,,
Pathreri B.O,J9671,Shahzadpur S.O.,,,1.0,,,,,8.0,,,,
Patwi B.O,M0022,Jatwar S.O,,,1.0,3.0,,,,,,,,
Pilkhani B.O,L4368,Saha S.O,,,3.0,,,4.0,,2.0,,,,
Pinjore S.O,13410201,,11.0,,4.0,49.0,,22.0,13.0,60.0,,3.0,25.0,
Pipli Majra B.O,L4338,Bhudkalan S.O,,,,3.0,,2.0,,,,,,
Pipliwala B.O,A7323,Sadhaura S.O,,,,62.0,,1.0,,20.0,,,,
Preet Nagar S.O (Ambala),13400308,,5.0,,,1.0,,4.0,2.0,12.0,,,2.0,
